Symbol,Date,Close
SYK,04/01/2021 16:00:00,239.02
SYK,05/01/2021 16:00:00,239.66
SYK,06/01/2021 16:00:00,242.45
SYK,07/01/2021 16:00:00,243.72
SYK,08/01/2021 16:00:00,243.66
SYK,11/01/2021 16:00:00,241.85
SYK,12/01/2021 16:00:00,239.21
SYK,13/01/2021 16:00:00,243.2
SYK,14/01/2021 16:00:00,242.13
SYK,15/01/2021 16:00:00,241.99
SYK,19/01/2021 16:00:00,242.07
SYK,20/01/2021 16:00:00,245.21
SYK,21/01/2021 16:00:00,243.6
SYK,22/01/2021 16:00:00,239.93
SYK,25/01/2021 16:00:00,239.55
SYK,26/01/2021 16:00:00,238
SYK,27/01/2021 16:00:00,230.75
SYK,28/01/2021 16:00:00,230
SYK,29/01/2021 16:00:00,221.01
SYK,01/02/2021 16:00:00,226.54
SYK,02/02/2021 16:00:00,235.13
SYK,03/02/2021 16:00:00,233.95
SYK,04/02/2021 16:00:00,237.08
SYK,05/02/2021 16:00:00,238.78
SYK,08/02/2021 16:00:00,242.45
SYK,09/02/2021 16:00:00,242.15
SYK,10/02/2021 16:00:00,243.03
SYK,11/02/2021 16:00:00,245.34
SYK,12/02/2021 16:00:00,248.15
SYK,16/02/2021 16:00:00,247.86
SYK,17/02/2021 16:00:00,246.57
SYK,18/02/2021 16:00:00,245.16
SYK,19/02/2021 16:00:00,242.09
SYK,22/02/2021 16:00:00,243.15
SYK,23/02/2021 16:00:00,246.56
SYK,24/02/2021 16:00:00,248.82
SYK,25/02/2021 16:00:00,245.78
SYK,26/02/2021 16:00:00,242.69
SYK,01/03/2021 16:00:00,245.81
SYK,02/03/2021 16:00:00,245.39
SYK,03/03/2021 16:00:00,242.88
SYK,04/03/2021 16:00:00,235.8
SYK,05/03/2021 16:00:00,240.03
SYK,08/03/2021 16:00:00,236
SYK,09/03/2021 16:00:00,237.17
SYK,10/03/2021 16:00:00,240.08
SYK,11/03/2021 16:00:00,239.26
SYK,12/03/2021 16:00:00,240.76
SYK,15/03/2021 16:00:00,241.25
SYK,16/03/2021 16:00:00,238.03
SYK,17/03/2021 16:00:00,236.18
SYK,18/03/2021 16:00:00,230.86
SYK,19/03/2021 16:00:00,230
SYK,22/03/2021 16:00:00,232.08
SYK,23/03/2021 16:00:00,229.43
SYK,24/03/2021 16:00:00,233.81
SYK,25/03/2021 16:00:00,235.34
SYK,26/03/2021 16:00:00,240.98
SYK,29/03/2021 16:00:00,242.03
SYK,30/03/2021 16:00:00,243.1
SYK,31/03/2021 16:00:00,243.58
SYK,01/04/2021 16:00:00,242.95
SYK,05/04/2021 16:00:00,248.48
SYK,06/04/2021 16:00:00,248.39
SYK,07/04/2021 16:00:00,247.44
SYK,08/04/2021 16:00:00,249.87
SYK,09/04/2021 16:00:00,253.32
SYK,12/04/2021 16:00:00,251.83
SYK,13/04/2021 16:00:00,253.57
SYK,14/04/2021 16:00:00,252.29
SYK,15/04/2021 16:00:00,256.85
SYK,16/04/2021 16:00:00,257.13
SYK,19/04/2021 16:00:00,256.75
SYK,20/04/2021 16:00:00,258.43
SYK,21/04/2021 16:00:00,263.89
SYK,22/04/2021 16:00:00,264.17
SYK,23/04/2021 16:00:00,267
SYK,26/04/2021 16:00:00,265.28
SYK,27/04/2021 16:00:00,265.03
SYK,28/04/2021 16:00:00,259.58
SYK,29/04/2021 16:00:00,263.43
SYK,30/04/2021 16:00:00,262.63
SYK,03/05/2021 16:00:00,263.1
SYK,04/05/2021 16:00:00,255.59
SYK,05/05/2021 16:00:00,253.07
SYK,06/05/2021 16:00:00,254.13
SYK,07/05/2021 16:00:00,254.78
SYK,10/05/2021 16:00:00,255.98
SYK,11/05/2021 16:00:00,251.5
SYK,12/05/2021 16:00:00,244.76
SYK,13/05/2021 16:00:00,247.85
SYK,14/05/2021 16:00:00,252.95
SYK,17/05/2021 16:00:00,251.85
SYK,18/05/2021 16:00:00,252.84
SYK,19/05/2021 16:00:00,252.25
SYK,20/05/2021 16:00:00,254.35
SYK,21/05/2021 16:00:00,255.65
SYK,24/05/2021 16:00:00,257.15
SYK,25/05/2021 16:00:00,256.79
SYK,26/05/2021 16:00:00,252.43
SYK,27/05/2021 16:00:00,254.51
SYK,28/05/2021 16:00:00,255.27
SYK,01/06/2021 16:00:00,255.79
SYK,02/06/2021 16:00:00,250.72
SYK,03/06/2021 16:00:00,249.7
SYK,04/06/2021 16:00:00,251.83
SYK,07/06/2021 16:00:00,249.54
SYK,08/06/2021 16:00:00,249.74
SYK,09/06/2021 16:00:00,253.13
SYK,10/06/2021 16:00:00,256.66
SYK,11/06/2021 16:00:00,255.79
SYK,14/06/2021 16:00:00,255.69
SYK,15/06/2021 16:00:00,256.68
SYK,16/06/2021 16:00:00,256.4
SYK,17/06/2021 16:00:00,259.55
SYK,18/06/2021 16:00:00,254.91
SYK,21/06/2021 16:00:00,259.73
SYK,22/06/2021 16:00:00,262.74
SYK,23/06/2021 16:00:00,262.64
SYK,24/06/2021 16:00:00,261.39
SYK,25/06/2021 16:00:00,263
SYK,28/06/2021 16:00:00,260.36
SYK,29/06/2021 16:00:00,260.44
SYK,30/06/2021 16:00:00,259.73
SYK,01/07/2021 16:00:00,262.7
SYK,02/07/2021 16:00:00,265.42
SYK,06/07/2021 16:00:00,264.86
SYK,07/07/2021 16:00:00,265.34
SYK,08/07/2021 16:00:00,263.94
SYK,09/07/2021 16:00:00,264.43
SYK,12/07/2021 16:00:00,264.92
SYK,13/07/2021 16:00:00,261.6
SYK,14/07/2021 16:00:00,261.36
SYK,15/07/2021 16:00:00,257.05
SYK,16/07/2021 16:00:00,257.59
