Symbol,Date,Close
HOLX,04/01/2021 16:00:00,73.12
HOLX,05/01/2021 16:00:00,76.02
HOLX,06/01/2021 16:00:00,78.03
HOLX,07/01/2021 16:00:00,77.97
HOLX,08/01/2021 16:00:00,80.49
HOLX,11/01/2021 16:00:00,78.52
HOLX,12/01/2021 16:00:00,77.65
HOLX,13/01/2021 16:00:00,77.85
HOLX,14/01/2021 16:00:00,76.48
HOLX,15/01/2021 16:00:00,76.1
HOLX,19/01/2021 16:00:00,75.99
HOLX,20/01/2021 16:00:00,77.22
HOLX,21/01/2021 16:00:00,75.92
HOLX,22/01/2021 16:00:00,75.7
HOLX,25/01/2021 16:00:00,76.34
HOLX,26/01/2021 16:00:00,74.52
HOLX,27/01/2021 16:00:00,72.51
HOLX,28/01/2021 16:00:00,75.78
HOLX,29/01/2021 16:00:00,79.73
HOLX,01/02/2021 16:00:00,82.89
HOLX,02/02/2021 16:00:00,82.14
HOLX,03/02/2021 16:00:00,82.32
HOLX,04/02/2021 16:00:00,83.72
HOLX,05/02/2021 16:00:00,82.8
HOLX,08/02/2021 16:00:00,82.28
HOLX,09/02/2021 16:00:00,81.15
HOLX,10/02/2021 16:00:00,79.6
HOLX,11/02/2021 16:00:00,80.02
HOLX,12/02/2021 16:00:00,82.98
HOLX,16/02/2021 16:00:00,83.43
HOLX,17/02/2021 16:00:00,82.5
HOLX,18/02/2021 16:00:00,82.33
HOLX,19/02/2021 16:00:00,75.69
HOLX,22/02/2021 16:00:00,74.57
HOLX,23/02/2021 16:00:00,75.5
HOLX,24/02/2021 16:00:00,75.15
HOLX,25/02/2021 16:00:00,72.36
HOLX,26/02/2021 16:00:00,72.09
HOLX,01/03/2021 16:00:00,74.64
HOLX,02/03/2021 16:00:00,74.82
HOLX,03/03/2021 16:00:00,71.97
HOLX,04/03/2021 16:00:00,70.41
HOLX,05/03/2021 16:00:00,72.35
HOLX,08/03/2021 16:00:00,70.91
HOLX,09/03/2021 16:00:00,71.88
HOLX,10/03/2021 16:00:00,68.76
HOLX,11/03/2021 16:00:00,71.03
HOLX,12/03/2021 16:00:00,70.78
HOLX,15/03/2021 16:00:00,71.92
HOLX,16/03/2021 16:00:00,71.95
HOLX,17/03/2021 16:00:00,71.67
HOLX,18/03/2021 16:00:00,70.8
HOLX,19/03/2021 16:00:00,72.03
HOLX,22/03/2021 16:00:00,73.93
HOLX,23/03/2021 16:00:00,72.73
HOLX,24/03/2021 16:00:00,71.98
HOLX,25/03/2021 16:00:00,71.05
HOLX,26/03/2021 16:00:00,73.42
HOLX,29/03/2021 16:00:00,74.2
HOLX,30/03/2021 16:00:00,73.87
HOLX,31/03/2021 16:00:00,74.38
HOLX,01/04/2021 16:00:00,74.34
HOLX,05/04/2021 16:00:00,74.36
HOLX,06/04/2021 16:00:00,74.72
HOLX,07/04/2021 16:00:00,72.9
HOLX,08/04/2021 16:00:00,73.58
HOLX,09/04/2021 16:00:00,73.63
HOLX,12/04/2021 16:00:00,74.42
HOLX,13/04/2021 16:00:00,75.65
HOLX,14/04/2021 16:00:00,75.01
HOLX,15/04/2021 16:00:00,75.99
HOLX,16/04/2021 16:00:00,76.66
HOLX,19/04/2021 16:00:00,76.68
HOLX,20/04/2021 16:00:00,73.82
HOLX,21/04/2021 16:00:00,75.09
HOLX,22/04/2021 16:00:00,74.68
HOLX,23/04/2021 16:00:00,73.36
HOLX,26/04/2021 16:00:00,74.08
HOLX,27/04/2021 16:00:00,72.85
HOLX,28/04/2021 16:00:00,72.4
HOLX,29/04/2021 16:00:00,66.23
HOLX,30/04/2021 16:00:00,65.55
HOLX,03/05/2021 16:00:00,65.67
HOLX,04/05/2021 16:00:00,65.92
HOLX,05/05/2021 16:00:00,65.5
HOLX,06/05/2021 16:00:00,65.16
HOLX,07/05/2021 16:00:00,65.63
HOLX,10/05/2021 16:00:00,65.09
HOLX,11/05/2021 16:00:00,64.47
HOLX,12/05/2021 16:00:00,62.95
HOLX,13/05/2021 16:00:00,62.8
HOLX,14/05/2021 16:00:00,63.74
HOLX,17/05/2021 16:00:00,62.64
HOLX,18/05/2021 16:00:00,62.27
HOLX,19/05/2021 16:00:00,62.71
HOLX,20/05/2021 16:00:00,63
HOLX,21/05/2021 16:00:00,62.42
HOLX,24/05/2021 16:00:00,62.74
HOLX,25/05/2021 16:00:00,62.68
HOLX,26/05/2021 16:00:00,62.76
HOLX,27/05/2021 16:00:00,63.29
HOLX,28/05/2021 16:00:00,63.06
HOLX,01/06/2021 16:00:00,61.35
HOLX,02/06/2021 16:00:00,61.23
HOLX,03/06/2021 16:00:00,60.98
HOLX,04/06/2021 16:00:00,60.72
HOLX,07/06/2021 16:00:00,60.89
HOLX,08/06/2021 16:00:00,60.52
HOLX,09/06/2021 16:00:00,61
HOLX,10/06/2021 16:00:00,62.3
HOLX,11/06/2021 16:00:00,63.39
HOLX,14/06/2021 16:00:00,63.39
HOLX,15/06/2021 16:00:00,62.46
HOLX,16/06/2021 16:00:00,61.89
HOLX,17/06/2021 16:00:00,62.86
HOLX,18/06/2021 16:00:00,62.61
HOLX,21/06/2021 16:00:00,63.17
HOLX,22/06/2021 16:00:00,64.02
HOLX,23/06/2021 16:00:00,64.47
HOLX,24/06/2021 16:00:00,65
HOLX,25/06/2021 16:00:00,65.89
HOLX,28/06/2021 16:00:00,67.47
HOLX,29/06/2021 16:00:00,68.85
HOLX,30/06/2021 16:00:00,66.72
HOLX,01/07/2021 16:00:00,67.99
HOLX,02/07/2021 16:00:00,67.71
HOLX,06/07/2021 16:00:00,69.02
HOLX,07/07/2021 16:00:00,69.64
HOLX,08/07/2021 16:00:00,69.85
HOLX,09/07/2021 16:00:00,69.31
HOLX,12/07/2021 16:00:00,69.18
HOLX,13/07/2021 16:00:00,68.65
HOLX,14/07/2021 16:00:00,67.56
HOLX,15/07/2021 16:00:00,68.37
HOLX,16/07/2021 16:00:00,69.54
HOLX,19/07/2021 16:00:00,70.37
HOLX,20/07/2021 16:00:00,70.17
HOLX,21/07/2021 16:00:00,70
HOLX,22/07/2021 16:00:00,71.77
