Symbol,Date,Close
GOOG,04/01/2021 16:00:00,86.41
GOOG,05/01/2021 16:00:00,87.05
GOOG,06/01/2021 16:00:00,86.76
GOOG,07/01/2021 16:00:00,89.36
GOOG,08/01/2021 16:00:00,90.36
GOOG,11/01/2021 16:00:00,88.34
GOOG,12/01/2021 16:00:00,87.33
GOOG,13/01/2021 16:00:00,87.72
GOOG,14/01/2021 16:00:00,87.01
GOOG,15/01/2021 16:00:00,86.81
GOOG,19/01/2021 16:00:00,89.54
GOOG,20/01/2021 16:00:00,94.35
GOOG,21/01/2021 16:00:00,94.56
GOOG,22/01/2021 16:00:00,95.05
GOOG,25/01/2021 16:00:00,94.97
GOOG,26/01/2021 16:00:00,95.86
GOOG,27/01/2021 16:00:00,91.54
GOOG,28/01/2021 16:00:00,93.16
GOOG,29/01/2021 16:00:00,91.79
GOOG,01/02/2021 16:00:00,95.07
GOOG,02/02/2021 16:00:00,96.38
GOOG,03/02/2021 16:00:00,103.5
GOOG,04/02/2021 16:00:00,103.12
GOOG,05/02/2021 16:00:00,104.9
GOOG,08/02/2021 16:00:00,104.65
GOOG,09/02/2021 16:00:00,104.18
GOOG,10/02/2021 16:00:00,104.77
GOOG,11/02/2021 16:00:00,104.79
GOOG,12/02/2021 16:00:00,105.21
GOOG,16/02/2021 16:00:00,106.1
GOOG,17/02/2021 16:00:00,106.42
GOOG,18/02/2021 16:00:00,105.86
GOOG,19/02/2021 16:00:00,105.06
GOOG,22/02/2021 16:00:00,103.24
GOOG,23/02/2021 16:00:00,103.54
GOOG,24/02/2021 16:00:00,104.76
GOOG,25/02/2021 16:00:00,101.57
GOOG,26/02/2021 16:00:00,101.84
GOOG,01/03/2021 16:00:00,104.08
GOOG,02/03/2021 16:00:00,103.79
GOOG,03/03/2021 16:00:00,101.34
GOOG,04/03/2021 16:00:00,102.45
GOOG,05/03/2021 16:00:00,105.43
GOOG,08/03/2021 16:00:00,101.21
GOOG,09/03/2021 16:00:00,102.64
GOOG,10/03/2021 16:00:00,102.75
GOOG,11/03/2021 16:00:00,105.74
GOOG,12/03/2021 16:00:00,103.1
GOOG,15/03/2021 16:00:00,103.32
GOOG,16/03/2021 16:00:00,104.63
GOOG,17/03/2021 16:00:00,104.55
GOOG,18/03/2021 16:00:00,101.81
GOOG,19/03/2021 16:00:00,102.16
GOOG,22/03/2021 16:00:00,101.93
GOOG,23/03/2021 16:00:00,102.65
GOOG,24/03/2021 16:00:00,102.25
GOOG,25/03/2021 16:00:00,102.22
GOOG,26/03/2021 16:00:00,101.78
GOOG,29/03/2021 16:00:00,102.8
GOOG,30/03/2021 16:00:00,102.78
GOOG,31/03/2021 16:00:00,103.43
GOOG,01/04/2021 16:00:00,106.89
GOOG,05/04/2021 16:00:00,111.28
GOOG,06/04/2021 16:00:00,111.24
GOOG,07/04/2021 16:00:00,112.48
GOOG,08/04/2021 16:00:00,113.27
GOOG,09/04/2021 16:00:00,114.29
GOOG,12/04/2021 16:00:00,112.74
GOOG,13/04/2021 16:00:00,113.36
GOOG,14/04/2021 16:00:00,112.74
GOOG,15/04/2021 16:00:00,114.83
GOOG,16/04/2021 16:00:00,114.89
GOOG,19/04/2021 16:00:00,115.12
GOOG,20/04/2021 16:00:00,114.68
GOOG,21/04/2021 16:00:00,114.66
GOOG,22/04/2021 16:00:00,113.4
GOOG,23/04/2021 16:00:00,115.77
GOOG,26/04/2021 16:00:00,116.34
GOOG,27/04/2021 16:00:00,115.36
GOOG,28/04/2021 16:00:00,119
GOOG,29/04/2021 16:00:00,121.49
GOOG,30/04/2021 16:00:00,120.51
GOOG,03/05/2021 16:00:00,119.76
GOOG,04/05/2021 16:00:00,117.71
GOOG,05/05/2021 16:00:00,117.84
GOOG,06/05/2021 16:00:00,119.07
GOOG,07/05/2021 16:00:00,119.93
GOOG,10/05/2021 16:00:00,117.08
GOOG,11/05/2021 16:00:00,115.44
GOOG,12/05/2021 16:00:00,111.95
GOOG,13/05/2021 16:00:00,113.1
GOOG,14/05/2021 16:00:00,115.81
GOOG,17/05/2021 16:00:00,116.07
GOOG,18/05/2021 16:00:00,115.17
GOOG,19/05/2021 16:00:00,115.44
GOOG,20/05/2021 16:00:00,117.8
GOOG,21/05/2021 16:00:00,117.26
GOOG,24/05/2021 16:00:00,120.33
GOOG,25/05/2021 16:00:00,120.45
GOOG,26/05/2021 16:00:00,121.68
GOOG,27/05/2021 16:00:00,120.13
